,id,screen_name,complete_name,description,verified,crawled_at,location,url,created_at,tweet_count,listed_count,favs_count,followers_count,following_count,bot,user_type
237178034,237178034,Camillesr78,Camille Rodriguez,"I love to travel, go on long walks on a gorgeous day, grill out with friends, read a good book, anything involving the water, see live music or an occasional",,2014-06-08 23:23:49,San Francisco,,Wed Jan 12 07:35:22 +0000 2011,450,3,0,2355,2074,True,Spambot_1
237192061,237192061,Esteryr81,Ester Sirru,"La mia vita è una festa, ma anche quella di una donna riflessiva. Scegliete la parte che vi piace di più.",,2014-06-09 23:20:04,Cagliari,,Wed Jan 12 08:36:08 +0000 2011,507,5,0,4772,5167,True,Spambot_1
237192993,237192993,Moniqueeo84,Monica Carta,"Molto socievole, amo la cucina, il vino, il calcio e gli amici.",,2014-06-09 23:22:35,Emilia Romagna,,Wed Jan 12 08:40:06 +0000 2011,513,7,0,5772,6022,True,Spambot_1
237197647,237197647,EsterWalshgm75,Ester Walsh,"I've been described as the life of the party as well as a deep thinker. I like to have fun, laugh, be ridiculous, or sit around with a drink and talk about th",,2014-06-09 23:22:55,San Jose,,Wed Jan 12 08:59:57 +0000 2011,311,0,0,124,0,True,Spambot_1
237201814,237201814,Adelabx71,Adele,L'apparenza non è importante.,,2014-05-30 23:20:17,Roma,,Wed Jan 12 09:18:38 +0000 2011,471,5,0,4375,4777,True,Spambot_1
237226175,237226175,Adelahu83,Adele Bernini,"Mi piacciono le cittadine piccole, quelle dove tutti si conoscono ma dove nessuno si conosce veramente.",,2014-06-09 23:22:54,Piacenza,,Wed Jan 12 11:00:59 +0000 2011,478,3,0,5508,5642,True,Spambot_1
237234251,237234251,Graciejl90,Grazia Casini,"La gioia di vivere, in me.",,2014-06-09 23:20:37,Carrara,,Wed Jan 12 11:31:54 +0000 2011,447,7,0,5505,5701,True,Spambot_1
237326341,237326341,Wendyn76e,Veronica ,"Sono una tipa tranquilla, blue jeans. Amo ballare e cucinare.",,2014-06-09 23:23:06,Benevento,,Wed Jan 12 15:57:08 +0000 2011,444,5,0,5530,5873,True,Spambot_1
237332572,237332572,Larapa82,Laura Ricca,I am a down to earth person. I was raised country and still follow a lot of my southern traditions but I have a rock n roll spirit. (if you do not like girl,,2014-06-09 23:20:10,Melbourne,,Wed Jan 12 16:13:39 +0000 2011,486,11,0,6018,6466,True,Spambot_1
237346330,237346330,Lessieri73,Carla Lessieri,"Non sono d'accordo nel fingere, questa società ci fa dare il peggio di noi stessi. No, non ci sto.",,2014-06-07 23:20:07,Novara,,Wed Jan 12 16:50:20 +0000 2011,449,5,0,5359,5595,True,Spambot_1
237359828,237359828,Matildadr89,Matilda Combs,I love to laugh and goof around. I am an affectionate person and I love to snuggle up with someone and watch movies or just talk. I enjoy spending time ou,,2014-06-09 23:23:30,Sydney,,Wed Jan 12 17:26:52 +0000 2011,514,8,0,4870,5350,True,Spambot_1
237367607,237367607,Moniquenn89,Monique Waller,"Well... I am a pretty outgoing individual that likes to laugh, smile and have a good time! I love to be out and about- but I also like to be home and just rel",,2014-06-09 23:22:45,Sydney,,Wed Jan 12 17:48:25 +0000 2011,477,5,0,4316,4716,True,Spambot_1
237375183,237375183,Lydiali76,Lydia Wallace,"This is a little on the weird side, but I'll give it a shot: I am fun-loving, caring, and independent... I really value my family and my job... I absolutely l",,2014-06-09 23:23:12,Melbourne,,Wed Jan 12 18:10:22 +0000 2011,497,5,0,4420,4731,True,Spambot_1
240706202,240706202,ilpoetadel,Il Trofeo,Retwitto e Premio i migliori Tweets! Ricambio il Follow.,,2014-06-09 23:21:56,,,Thu Jan 20 15:10:01 +0000 2011,5550,9,3,4855,5300,True,Spambot_1
260649579,260649579,iinokinji,iino kinji,"...e guardo il mondo da un'oblò...(account con pilota automatico, mezzo uomo e mezzo macchina) - #followback in 5 min",,2014-06-09 23:21:26,,,Fri Mar 04 09:03:56 +0000 2011,13013,2,874,1901,1895,True,Spambot_1
282659109,282659109,Sconton,Sconton,Sconton è un portale fondato sui gruppi d'acquisto che offre la possibilità di acquistare qualsiasi tipo di servizio ad un prezzo imbattibile. Basta registrarsi,,2014-05-24 23:20:59,Catania,http://t.co/jmvNGzkjYD,Fri Apr 15 16:57:53 +0000 2011,22794,1,0,192,73,True,Spambot_1
299988118,299988118,PeterLaliOK,Marco,Mercoledì 22.Maggio.2013 - Ore:14:10,,2014-04-19 23:23:00,Italia,,Tue May 17 00:52:11 +0000 2011,9053,0,272,243,965,True,Spambot_1
327060670,327060670,Airolf,Federico Floria,"Mika e' la mia vita, Supernatural la mia passione, il giardinaggio l'antistress. Fringe, Vampires, rock, tecnologia.....follow back...",,2014-04-27 23:20:27,abruzzo-italy,http://t.co/0mQHlgxEmD,Thu Jun 30 22:59:43 +0000 2011,25930,66,418,10854,10606,True,Spambot_1
336996257,336996257,RosannaMarani,Rosanna Marani,Per sapere chi sono statahttp://t.co/YnHLAz1Hybhttp://t.co/hkLUi7uPRbPer sapere chi sono...chiedimelo#proésia P'ossessione vocale: https://t.co/cXoPzmUEyg,,2014-05-23 23:22:23,Milano,https://t.co/f8DT8BmzyN,Sun Jul 17 08:10:34 +0000 2011,106283,88,34156,3307,934,True,Spambot_1
357536147,357536147,stressfreezone_,My stress free zone,,,2014-05-02 23:23:14,,,Thu Aug 18 14:33:51 +0000 2011,381,50,2,3236,1923,True,Spambot_1
393927847,393927847,ClaudiaMora84,Claudia Morabito,,,2014-06-09 23:23:26,Davanti alla porta di casa,http://t.co/QqVqCI9SbL,Wed Oct 19 09:26:05 +0000 2011,306,0,7,466,682,True,Spambot_1
418371090,418371090,Torrezuuh,Caterina,Eddaje.,,2014-06-08 23:24:17,Viterbo,,Tue Nov 22 03:02:32 +0000 2011,469,6,0,4822,5207,True,Spambot_1
418501358,418501358,FlavioLiMolsa,Flavio,"Laureando in economia, speriamo la crisi passi presto.",,2014-06-08 23:24:00,Italia,,Tue Nov 22 07:44:43 +0000 2011,413,8,0,4421,4827,True,Spambot_1
421987528,421987528,PaolaGattini1,Paola Gattini ,"Puoi svegliarti anche presto, all'alba, ma il tuo destino si è svegliato mezz'ora prima di te...",,2014-05-01 23:22:15,Livorno,,Sat Nov 26 17:12:31 +0000 2011,4986,0,9,152,294,True,Spambot_1
430928749,430928749,GiardinoIllumin,Giardino Illuminati,,,2014-05-03 23:21:55,,https://t.co/4G0RYD0BPH,Wed Dec 07 18:34:34 +0000 2011,31332,5,0,590,29,True,Spambot_1
434722849,434722849,GiulioAdriani,Junior Adriel,,,2014-06-09 23:20:04,Aldan,,Mon Dec 12 07:02:50 +0000 2011,443,1,0,4090,4498,True,Spambot_1
434727810,434727810,CristianoMinima,Cristiano Minima,Sono un tipo semplice. Ma non mi fate arrabbiare.,,2014-06-08 23:23:18,Italia,,Mon Dec 12 07:14:18 +0000 2011,422,4,0,4367,4803,True,Spambot_1
434728619,434728619,Addisonohy,Aldo Sereni,"Amo il mare, le immersioni, il surf, il sole insomma.",,2014-06-09 23:21:16,Trento,,Mon Dec 12 07:16:17 +0000 2011,482,5,0,4486,4935,True,Spambot_1
434729769,434729769,IsaccoTombo,Isacco Tombolini,"Aspirante attore, ma amo la pittura.",,2014-06-09 23:20:50,Italia,,Mon Dec 12 07:19:06 +0000 2011,458,1,0,4447,4807,True,Spambot_1
434732328,434732328,Jordenoza,Jorden Leonardo,,,2014-06-09 23:23:15,Angarsk,,Mon Dec 12 07:25:07 +0000 2011,507,5,0,4032,4414,True,Spambot_1
434742028,434742028,GregorioAbramo,Gregorio Abramo,Amo la musica.,,2014-06-03 23:25:04,Italia,,Mon Dec 12 07:48:38 +0000 2011,437,3,0,4159,4483,True,Spambot_1
434756188,434756188,HudsonAldenlvc,Aldo Urro,Carpe diem. Non è un pesce.,,2014-06-09 23:24:01,Padova,,Mon Dec 12 08:22:53 +0000 2011,460,2,0,3800,4185,True,Spambot_1
434775697,434775697,HadenDamonuyo,Adolfo Pecoro,Un mare di divertimento.,,2014-06-09 23:20:37,Avellino,,Mon Dec 12 09:07:23 +0000 2011,467,6,0,4116,4527,True,Spambot_1
434790178,434790178,AlbertoJena,Alberto Jena,L'Italia è quel paese dove finisci di studiare e ti ritiri dal mondo del lavoro nello stesso momento.,,2014-06-09 23:23:08,Italia,,Mon Dec 12 09:39:24 +0000 2011,441,5,0,4317,4749,True,Spambot_1
434792369,434792369,AldoColecchia,Aldo,Chi ha tempo non perda tempo.,,2014-06-09 23:22:21,Italia,,Mon Dec 12 09:44:09 +0000 2011,439,6,0,4514,4730,True,Spambot_1
434795107,434795107,Albertone874,Albertone,"Ndo me metti, sto!",,2014-06-09 23:22:24,Italia,,Mon Dec 12 09:50:03 +0000 2011,460,4,0,4200,4435,True,Spambot_1
458941316,458941316,CourtneyAnne333,Anne_is_all,"I just want to live and let live, I aspire to be an inspiration one day, and life is just a bunch of decisions to be made.",,2014-05-01 23:24:01,,,Mon Jan 09 03:32:48 +0000 2012,901,0,383,128,472,True,Spambot_1
465192765,465192765,TeresaMarzi,teresa,"Allegra quanto basta, decisa, tanto.",,2014-06-09 23:23:27,Benevento,,Mon Jan 16 02:30:01 +0000 2012,359,3,0,5197,5568,True,Spambot_1
465196345,465196345,FilippaVarelli,Filippa Varelli,"Se una persona ti fa sorridere, non dovresti abbandonarla mai",,2014-06-09 23:22:14,Pesaro,,Mon Jan 16 02:36:42 +0000 2012,120,0,0,0,0,True,Spambot_1
465303273,465303273,LiviaSalemme,Livia Salemme,"Non si avrà tutto ciò che si desidera, ma si dovrà sempre cercare di ottenerlo",,2014-06-09 23:21:46,Napoli ,,Mon Jan 16 06:07:48 +0000 2012,79,0,0,1,0,True,Spambot_1
465305493,465305493,PaolaGirottina,Io,"Non per distruggervi le speranze, ma l'unica cosa che se ne va e poi torna è la fame.",,2014-06-09 23:22:05,,,Mon Jan 16 06:12:08 +0000 2012,213,5,0,4107,4432,True,Spambot_1
465306140,465306140,CinziaProtetto,Cinzia Protetto,"Amandoti ho amato i tuoi difetti, i tuoi errori, le tue bugie, le tue bruttezze, le tue contraddizioni, il tuo corpo.(Oriana Fallaci)",,2014-05-30 23:20:54,Mantova,,Mon Jan 16 06:13:22 +0000 2012,33,0,0,0,0,True,Spambot_1
465306667,465306667,CarlaBarattone,Carla,Quando ce vo ce vo!,,2014-06-09 23:24:01,Roma,,Mon Jan 16 06:14:22 +0000 2012,321,7,0,5868,6198,True,Spambot_1
465317813,465317813,OliveraMarigu,Olivera,"Preferisco piangere, ridere, incazzarmi, star bene, star male. Essere fragile e forte. Ma con un cuore. Anziché averlo e nasconderlo sempre",,2014-06-09 23:24:17,,,Mon Jan 16 06:36:56 +0000 2012,257,1,0,4992,5250,True,Spambot_1
465318952,465318952,ValentinaCapace,Valentina Capace,"Tieni nel tuo bagaglio qualcosa del passato, ma lascia sempre spazio per quel che arriverà in futuro",,2014-06-09 23:22:09,Firenze,,Mon Jan 16 06:39:15 +0000 2012,137,0,0,0,0,True,Spambot_1
465319501,465319501,VeronicaVandini,Veronica Vandini,Dai il giusto peso alle cose che vuoi mantenere nella tua vita,,2014-06-09 23:22:58,Milano,,Mon Jan 16 06:40:15 +0000 2012,124,0,0,2,0,True,Spambot_1
465320112,465320112,RoccoDiamantoni,Rocco Diamantoni,"Se desideri davvero qualcosa, nessuno sforzo sarà troppo pur di raggiungerlo",,2014-06-09 23:23:38,Milano ,,Mon Jan 16 06:41:32 +0000 2012,62,0,0,0,0,True,Spambot_1
465323067,465323067,SciallaFinzi,Scialla,"le cose che non capisco, sono quelle che poi mi piacciono.",,2014-06-09 23:24:13,,,Mon Jan 16 06:47:29 +0000 2012,309,9,0,5446,5989,True,Spambot_1
465323815,465323815,DiegoSimeoni78,Diego Simeoni,"La vita andrebbe goduta, senza sopportare le cose che non ci piacciono",,2014-06-09 23:24:12,Roma e Milano,,Mon Jan 16 06:49:06 +0000 2012,131,0,0,544,685,True,Spambot_1
465325040,465325040,MicheleNotami,Michele Notami,"Se non sei una brava persona, non sarai neanche un buon partner",,2014-06-09 23:20:04,Torino,,Mon Jan 16 06:51:44 +0000 2012,161,0,0,480,671,True,Spambot_1
465325633,465325633,LuciaSale,Lucia Sale,A volte il silenzio è la risposta più assordante,,2014-06-06 23:23:32,Padova,,Mon Jan 16 06:52:53 +0000 2012,63,0,0,0,0,True,Spambot_1
465328572,465328572,GaiaDaspo,Gaia Daspo,Sii abbastanza forte da lasciar andare ciò che ti ferisce,,2014-06-07 23:22:46,Vicenza,,Mon Jan 16 06:58:59 +0000 2012,48,0,0,0,0,True,Spambot_1
465334514,465334514,LuciaFagena,Lucia Fagena,L’amore non muore mai di morte naturale. (Anäis Nin),,2014-06-08 23:22:01,Napoli ,,Mon Jan 16 07:11:26 +0000 2012,116,0,0,18,28,True,Spambot_1
465335657,465335657,RobertoRamina,Roberto Ramina,"Amicizia è come il tempo, non va sprecata",,2014-06-09 23:24:09,Roma,,Mon Jan 16 07:13:54 +0000 2012,137,0,0,0,0,True,Spambot_1
465338328,465338328,EmilioStrafanno,Emilio Strafanno,"A volte l'Amore deve finire, per iniziare di nuovo. Con una persona diversa",,2014-06-08 23:20:41,Lecce,,Mon Jan 16 07:19:21 +0000 2012,100,0,0,0,0,True,Spambot_1
465343577,465343577,LunaNavelli,Luna Navelli,Non costringere le persone ad inventare delle scuse: accetta il rifiuto al primo NO,,2014-06-09 23:21:51,Napoli,,Mon Jan 16 07:30:23 +0000 2012,72,0,0,0,0,True,Spambot_1
465347437,465347437,SimonaMorante,Simona,"non aspettare l'apocalisse, prendi l'iniziativa.",,2014-06-07 23:23:43,,,Mon Jan 16 07:38:27 +0000 2012,231,5,0,4936,5228,True,Spambot_1
465349136,465349136,SimoneLagona,Simone Lagona,"Non lasciatevi condizionare dal denaro, la vostra vita vale molto di più",,2014-06-09 23:21:50,Roma,,Mon Jan 16 07:41:56 +0000 2012,123,0,0,0,0,True,Spambot_1
465351389,465351389,OrianaFalqui,Oriana,L'essenziale è invisibile agli occhi.,,2014-06-09 23:22:16,,,Mon Jan 16 07:46:29 +0000 2012,270,11,0,5537,6062,True,Spambot_1
465352631,465352631,PamelaSalverini,Pamela Salverini,"Affronta le lotte con coraggio, e anche le sconfitte avranno onore",,2014-06-06 23:23:17,Napoli,,Mon Jan 16 07:49:10 +0000 2012,128,0,0,222,294,True,Spambot_1
465359767,465359767,CarmelaNoa,Carmela Noa,"La maggior parte delle persone felici lo sono perché fanno ciò che amano, senza pensarci troppo.",,2014-06-09 23:21:01,Roma,,Mon Jan 16 08:03:52 +0000 2012,140,1,0,296,345,True,Spambot_1
465360460,465360460,DaniloFabrizi99,Danilo Fabrizi,"Non paragonarti ad altri, cerca sempre di fare del tuo meglio per te stesso",,2014-06-09 23:22:59,Firenze,,Mon Jan 16 08:05:23 +0000 2012,130,0,0,0,0,True,Spambot_1
465361035,465361035,MarcellaColasa,Marcella Colasa,La fretta di sistemarsi può far fare scelte più azzardate di quelle di chi non vuole stabilizzarsi mai,,2014-06-07 23:22:49,Verona ,,Mon Jan 16 08:06:36 +0000 2012,82,0,0,1,0,True,Spambot_1
465365494,465365494,WandaCuperlo,Wanda,"Possiamo passare giornate, mesi interi senza parlarci, poi basta uno sguardo e siamo ancora noi, ci capiamo, basta poco e noi torniamo.",,2014-06-09 23:22:12,Padova,,Mon Jan 16 08:15:38 +0000 2012,287,14,0,4435,4825,True,Spambot_1
465366176,465366176,SofiaRastio,Sofia Rastio,L'unica religione da seguire è quella in cui credi,,2014-06-07 23:20:06,Torino,,Mon Jan 16 08:17:05 +0000 2012,54,0,0,0,0,True,Spambot_1
465366686,465366686,FrancescaFormo,Francesca Formo,"Non hai nulla da perdere nel giocarti le tue chance, quindi giocatele",,2014-06-09 23:23:44,Napoli,,Mon Jan 16 08:18:10 +0000 2012,149,0,0,232,341,True,Spambot_1
465367288,465367288,StupidaCamilla,La Stupida Camilla,"Mantieni sempre un atteggiamento positivo, riuscirai anche in cose che pensavi impossibili",,2014-06-09 23:23:59,Napoli,,Mon Jan 16 08:19:23 +0000 2012,144,1,0,534,653,True,Spambot_1
465368221,465368221,DaianaNorma,Daiana Norma,"I veri amici sono difficili da trovare, ma poi non ti lasceranno mai",,2014-06-09 23:20:10,Perugia,,Mon Jan 16 08:21:13 +0000 2012,139,0,0,281,334,True,Spambot_1
465369079,465369079,FabioLucenti6,Fabio Lucenti,Non aver paura di lasciare indietro chi non ti ama fino in fondo,,2014-06-09 23:23:10,Verona,,Mon Jan 16 08:22:56 +0000 2012,104,0,0,0,0,True,Spambot_1
465369276,465369276,RenataCosimi,Renata Cosimi,Tutti hanno bisogno di un posto dove sentirsi al sicuro,,2014-06-09 23:23:56,Bergamo,,Mon Jan 16 08:23:17 +0000 2012,135,0,0,0,0,True,Spambot_1
465371272,465371272,MarziaBaraldino,Marzia,"Non è bello ciò che è bello, ma è bello ciò che è vero.",,2014-06-09 23:23:26,,,Mon Jan 16 08:27:23 +0000 2012,330,10,0,5046,5546,True,Spambot_1
465371415,465371415,SaraFermani75,Sara Fermani,"Tu sei strano, lo sai? Lo sei sempre stato. Lo dicono tutti. Fin da quando eri piccolo.»«Sto cercando di non esserlo.»(Stephen Chbosky)",,2014-06-08 23:23:35,Livorno ,,Mon Jan 16 08:27:37 +0000 2012,48,0,0,0,0,True,Spambot_1
465372408,465372408,MarioCarponi,Mario Carponi,"Mantieni sempre un atteggiamento positivo, riuscirai anche in cose che pensavi impossibili",,2014-06-08 23:23:28,Milano,,Mon Jan 16 08:29:38 +0000 2012,141,0,0,231,283,True,Spambot_1
465373317,465373317,MichelaLancinin,Michela Lancinin,La vanità gioca dei brutti scherzi alla memoria.(Joseph Conrad),,2014-06-07 23:20:46,Milano ,,Mon Jan 16 08:31:27 +0000 2012,20,0,0,0,0,True,Spambot_1
465373507,465373507,LucioDabioni,Lucio Dabioni,L'avidità rende ciechi,,2014-06-09 23:21:50,Napoli,,Mon Jan 16 08:31:52 +0000 2012,43,0,0,0,0,True,Spambot_1
465373538,465373538,DianaValeti,Diana Valeti,"E' la tua vita, devi fare ciò che ti fa stare bene",,2014-06-09 23:22:44,Roma,,Mon Jan 16 08:31:56 +0000 2012,31,0,0,0,0,True,Spambot_1
465374176,465374176,RobertinoFora,Robertino Fora,La necessità di sentirsi triste si andava trasformando in lei in un vizio a mano a mano che la devastavano gli anni.,,2014-06-09 23:21:31,Milano ,,Mon Jan 16 08:33:09 +0000 2012,86,0,0,21,33,True,Spambot_1
465374259,465374259,MelissaGenio,Melissa Genio,L'avidità rende ciechi,,2014-06-09 23:21:19,Bari ,,Mon Jan 16 08:33:18 +0000 2012,67,0,0,1,0,True,Spambot_1
465375874,465375874,MartinoRispo,Martino Rispo,"Essere legato alle persone ti rende amorevole, esserlo alle cose ti rende avido",,2014-06-09 23:22:33,Forte dei Marmi,,Mon Jan 16 08:36:17 +0000 2012,120,0,0,266,339,True,Spambot_1
465376231,465376231,SandroTamiri,Sandro Tamiri,Non giudicare ciò che non conosci,,2014-06-09 23:21:18,Palermo,,Mon Jan 16 08:36:58 +0000 2012,116,0,0,0,0,True,Spambot_1
465376509,465376509,SimonaBarini,Simona Barini,"Sii forte, le cose andranno meglio",,2014-06-09 23:22:50,Roma,,Mon Jan 16 08:37:30 +0000 2012,57,0,0,0,0,True,Spambot_1
465378230,465378230,GiacomoFillotti,Giacomo Fillotti,Guarda indietro solo per vedere fin dove sei arrivato,,2014-06-09 23:23:04,Agrigento,,Mon Jan 16 08:40:56 +0000 2012,47,0,0,1,0,True,Spambot_1
465378609,465378609,MaurizioTorrino,Maurizio Torrino,Non fare il forte con chi é più debole,,2014-06-08 23:21:59,Milano,,Mon Jan 16 08:41:48 +0000 2012,63,0,0,0,0,True,Spambot_1
465378983,465378983,DinoDimando,Dino Dimando,"Non cercare un buon amico, cerca di esserlo",,2014-06-09 23:20:10,Perugia,,Mon Jan 16 08:42:34 +0000 2012,131,0,0,235,296,True,Spambot_1
465379325,465379325,RenzoBandieri,Renzo Bandieri,Dovremmo sempre essere grati di chi si preoccupa per noi,,2014-06-09 23:21:50,Napoli,,Mon Jan 16 08:43:14 +0000 2012,121,0,0,0,0,True,Spambot_1
465380942,465380942,CinziaDevoti,Cinzia Devoti,"La vita è piena di sorprese, buone e cattive: tieniti strette le buone, e lascia andare le cattive",,2014-06-09 23:21:14,Torino,,Mon Jan 16 08:46:24 +0000 2012,136,0,0,281,340,True,Spambot_1
465387088,465387088,FabioRitozzi,Fabio Ritozzi,"I ricordi non cambiano, le persone che li hanno generati si",,2014-06-08 23:23:48,Milano ,,Mon Jan 16 08:58:16 +0000 2012,47,0,0,0,0,True,Spambot_1
465387671,465387671,MarcelloGarardi,Marcello Garardi,Tra essere arrabbiati ed essere delusi c'è una grande differenza,,2014-06-09 23:22:58,Milano ,,Mon Jan 16 08:59:29 +0000 2012,71,0,0,0,0,True,Spambot_1
465389976,465389976,FrancyGavro,Francy Gravo,"I problemi non possono essere risolti pensandoci e basta, occorre agire",,2014-06-09 23:22:00,Torino,,Mon Jan 16 09:04:02 +0000 2012,147,1,0,282,357,True,Spambot_1
465392182,465392182,AlessandroMaro0,Alessandro Maro,Ci vuole troppo poco per uniformarsi alla massa: pensa con la tua testa,,2014-06-09 23:23:04,Napoli ,,Mon Jan 16 09:08:19 +0000 2012,78,0,0,0,0,True,Spambot_1
465392383,465392383,AlessiaSperosi,Alessia Sperosi,"Preoccupati dei problemi reali, lascia stare quelli immaginari",,2014-06-09 23:20:04,Milano ,,Mon Jan 16 09:08:44 +0000 2012,40,0,0,1,0,True,Spambot_1
465393290,465393290,RenzoMeravigli,Renzo Meravigli,La delusione è figlia delle aspettative,,2014-06-09 23:20:08,Milano,,Mon Jan 16 09:10:26 +0000 2012,68,0,0,0,0,True,Spambot_1
465393485,465393485,DanieleCarri,Daniele Carri,Non aspettare che qualcosa accada: falla accadere,,2014-06-09 23:23:35,Udine,,Mon Jan 16 09:10:50 +0000 2012,131,1,0,254,331,True,Spambot_1
465394343,465394343,EvelinaCarroso,Evelina,"Voglio un'illusione controllata. Qualcosa di piacevole, senza la controindicazione della realtà.",,2014-06-07 23:23:23,,,Mon Jan 16 09:12:26 +0000 2012,282,5,0,4894,5379,True,Spambot_1
465398499,465398499,StefaniaEdiano,Stefania Ediano,"Non temere mai di dire la verità, sii leale sempre",,2014-06-09 23:21:11,Milano,,Mon Jan 16 09:20:26 +0000 2012,134,0,0,0,0,True,Spambot_1
465399263,465399263,PriscillaParto,Priscilla Parto,"Chi viaggia e scopre il mondo, scopre se stesso",,2014-06-08 23:20:36,Genova,,Mon Jan 16 09:21:53 +0000 2012,117,0,0,1,0,True,Spambot_1
465399558,465399558,PaolaIlario,Plourde Manns,cercate persone intelligenti con cui ridere come scemi.,,2014-06-09 23:21:02,Paol,,Mon Jan 16 09:22:29 +0000 2012,258,9,0,4622,4905,True,Spambot_1
465401166,465401166,ViolaTorino,Volk Silvers,,,2014-06-09 23:22:38,Pittsburgh,,Mon Jan 16 09:25:53 +0000 2012,275,1,0,3831,4216,True,Spambot_1
465402069,465402069,ValeriaValenta,Valeria Valenta,"Essere gentili con chi non ci piace non significa essere falsi, significa solo essere più maturi e tolleranti degli altri",,2014-06-09 23:23:04,Napoli,,Mon Jan 16 09:27:40 +0000 2012,131,0,0,1,0,True,Spambot_1
465403330,465403330,PiaCarassi,Pia,Se non piaci abbastanza siine lieta. La massa ha gusti pessimi.,,2014-06-09 23:23:50,,,Mon Jan 16 09:30:17 +0000 2012,233,3,0,3733,4106,True,Spambot_1
465404789,465404789,SaraGiardina89,Sara,Roma è la più bella città der monno,,2014-06-09 23:24:11,Frascati,,Mon Jan 16 09:33:24 +0000 2012,390,6,0,5270,5253,True,Spambot_1
465404874,465404874,FernandaMirri,Fernanda Mirri,"La vita è fatta di scelte, e le scelte si possono sbagliare. Quindi vivi sereno",,2014-06-07 23:20:25,Bergamo ,,Mon Jan 16 09:33:36 +0000 2012,117,0,0,2,7,True,Spambot_1
465405613,465405613,DanieleUrtani,Daniele Urtani,"Ogni giorno è una nuova possibilità di vita, non sprecarla",,2014-06-09 23:22:52,Milano ,,Mon Jan 16 09:35:02 +0000 2012,98,0,0,1,0,True,Spambot_1
465413078,465413078,FloraMagesi,Flora Magesi,"A un certo momento si arriva a una specie di tranquilla malinconia, una sorta di calma, quasi la certezza che non succederà più nulla",,2014-06-09 23:22:58,Milano ,,Mon Jan 16 09:50:27 +0000 2012,96,1,0,22,36,True,Spambot_1
465417674,465417674,FrancaMagici,Franca Magici,Le persone che ci fanno sorridere solo quelle che più facilmente ci spezzeranno il cuore,,2014-06-05 23:23:37,Livorno ,,Mon Jan 16 09:59:26 +0000 2012,110,0,0,1,0,True,Spambot_1
465418238,465418238,EnzoRigoni10,Enzo Rigoni,"I pensieri negativi fanno cambiare l'umore, quelli positivi anche. Decidi tu che umore avere",,2014-06-03 23:25:24,Milano,,Mon Jan 16 10:00:36 +0000 2012,110,1,0,222,287,True,Spambot_1
